"zipcode","urbanity","region"
1067,1,4
1069,1,4
1097,1,4
1099,1,4
1108,1,4
1109,1,4
1127,1,4
1129,1,4
1139,1,4
1156,1,4
1157,1,4
1159,1,4
1169,1,4
1187,1,4
1189,1,4
1217,1,4
1219,1,4
1237,1,4
1239,1,4
1257,1,4
1259,1,4
1277,1,4
1279,1,4
1307,1,4
1309,1,4
1324,1,4
1326,1,4
1328,1,4
1445,2,4
1454,2,4
1458,2,4
1465,1,4
1468,3,4
1471,3,4
1477,3,4
1558,2,4
1561,3,4
1587,2,4
1589,2,4
1591,2,4
1594,3,4
1609,2,4
1612,3,4
1616,3,4
1619,3,4
1623,3,4
1640,2,4
1662,2,4
1665,3,4
1683,3,4
1689,2,4
1705,2,4
1723,3,4
1728,2,4
1731,3,4
1734,3,4
1737,3,4
1738,3,4
1744,2,4
1762,3,4
1768,3,4
1773,3,4
1774,3,4
1776,3,4
1778,3,4
1796,2,4
1809,2,4
1814,3,4
1816,3,4
1819,3,4
1824,3,4
1825,3,4
1829,3,4
1833,3,4
1844,2,4
1847,3,4
1848,3,4
1855,2,4
1877,2,4
1896,2,4
1900,2,4
1904,2,4
1906,3,4
1909,3,4
1917,2,4
1920,2,4
1936,3,4
1945,3,4
1968,2,4
1979,2,4
1983,2,4
1987,3,4
1990,3,4
1993,3,4
1994,3,4
1996,2,4
1998,3,4
2625,2,4
2627,3,4
2633,3,4
2681,2,4
2689,3,4
2692,2,4
2694,3,4
2699,3,4
2708,2,4
2727,2,4
2730,2,4
2733,3,4
2736,3,4
2739,2,4
2742,3,4
2747,3,4
2748,3,4
2763,2,4
2779,2,4
2782,2,4
2785,2,4
2788,2,4
2791,2,4
2794,2,4
2796,3,4
2797,3,4
2799,2,4
2826,1,4
2827,1,4
2828,1,4
2829,3,4
2894,3,4
2899,3,4
2906,2,4
2923,3,4
2929,3,4
2943,2,4
2953,2,4
2956,3,4
2957,2,4
2959,3,4
2977,2,4
2979,3,4
2991,2,4
2994,3,4
2997,3,4
2999,3,4
3042,1,4
3044,1,4
3046,1,4
3048,1,4
3050,1,4
3051,1,4
3052,1,4
3053,1,4
3054,1,4
3055,1,4
3058,3,4
3096,3,4
3099,3,4
3103,3,4
3116,3,4
3119,3,4
3130,2,4
3149,2,4
3159,3,4
3172,2,4
3185,3,4
3197,3,4
3205,2,4
3222,2,4
3226,3,4
3229,3,4
3238,2,4
3246,3,4
3249,3,4
3253,3,4
4103,1,4
4105,1,4
4107,1,4
4109,1,4
4129,1,4
4155,1,4
4157,1,4
4158,1,4
4159,1,4
4177,1,4
4178,1,4
4179,1,4
4205,1,4
4207,1,4
4209,1,4
4229,1,4
4249,1,4
4275,1,4
4277,1,4
4279,1,4
4288,1,4
4289,1,4
4299,1,4
4315,1,4
4316,1,4
4317,1,4
4318,1,4
4319,1,4
4328,1,4
4329,1,4
4347,1,4
4349,1,4
4356,1,4
4357,1,4
4416,2,4
4420,2,4
4425,2,4
4435,2,4
4442,2,4
4451,2,4
4463,2,4
4509,2,4
4519,3,4
4523,2,4
4539,2,4
4552,2,4
4564,2,4
4565,3,4
4567,3,4
4571,2,4
4575,3,4
4600,2,3
4603,2,3
4610,2,3
4613,3,3
4617,3,3
4618,3,3
4626,2,3
4639,3,3
4643,3,4
4651,3,4
4654,3,4
4668,2,4
4680,3,4
4683,2,4
4687,3,4
4703,3,4
4720,2,4
4736,2,4
4741,3,4
4746,3,4
4749,3,4
4758,2,4
4769,3,4
4774,3,4
4779,3,4
4808,2,4
4821,2,4
4824,2,4
4827,3,4
4828,2,4
4838,2,4
4849,2,4
4860,2,4
4861,2,4
4862,3,4
4874,3,4
4880,3,4
4886,3,4
4889,2,4
4895,3,4
4910,2,4
4916,2,4
4924,3,4
4928,3,4
4931,3,4
4932,3,4
4934,3,4
4936,3,4
4938,3,4
6108,1,4
6110,1,4
6112,1,4
6114,1,4
6116,1,4
6118,1,4
6120,1,4
6122,1,4
6124,1,4
6126,1,4
6128,1,4
6130,1,4
