"quantiles";"revenus"
0,001;2524
0,002;2529
0,003;2535
0,004;2540
0,005;2546
0,006;2551
0,007;2557
0,008;2563
0,009;2568
0,01;2574
0,011;2579
0,012;2587
0,013;2595
0,014;2604
0,015;2612
0,016;2619
0,017;2628
0,018;2636
0,019;2644
0,02;2652
0,021;2660
0,022;2665
0,023;2669
0,024;2674
0,025;2678
0,026;2683
0,027;2686
0,028;2691
0,029;2695
0,03;2700
0,031;2704
0,032;2709
0,033;2715
0,034;2720
0,035;2724
0,036;2729
0,037;2734
0,038;2739
0,039;2745
0,04;2750
0,041;2755
0,042;2763
0,043;2772
0,044;2781
0,045;2789
0,046;2798
0,047;2807
0,048;2815
0,049;2824
0,05;2833
0,051;2842
0,052;2850
0,053;2858
0,054;2867
0,055;2875
0,056;2883
0,057;2891
0,058;2900
0,059;2908
0,06;2916
0,061;2925
0,062;2927
0,063;2931
0,064;2933
0,065;2936
0,066;2939
0,067;2942
0,068;2945
0,069;2947
0,07;2951
0,071;2953
0,072;2958
0,073;2962
0,074;2967
0,075;2972
0,076;2976
0,077;2981
0,078;2985
0,079;2990
0,08;2995
0,081;2999
0,082;3007
0,083;3016
0,084;3024
0,085;3033
0,086;3041
0,087;3049
0,088;3058
0,089;3066
0,09;3075
0,091;3083
0,092;3092
0,093;3100
0,094;3109
0,095;3118
0,096;3127
0,097;3136
0,098;3144
0,099;3153
0,1;3162
0,101;3171
0,102;3179
0,103;3188
0,104;3196
0,105;3205
0,106;3213
0,107;3222
0,108;3230
0,109;3238
0,11;3247
0,111;3255
0,112;3262
0,113;3268
0,114;3275
0,115;3281
0,116;3289
0,117;3295
0,118;3302
0,119;3308
0,12;3315
0,121;3321
0,122;3332
0,123;3342
0,124;3352
0,125;3362
0,126;3372
0,127;3382
0,128;3392
0,129;3403
0,13;3412
0,131;3423
0,132;3433
0,133;3443
0,134;3453
0,135;3463
0,136;3474
0,137;3483
0,138;3494
0,139;3504
0,14;3514
0,141;3524
0,142;3535
0,143;3546
0,144;3557
0,145;3568
0,146;3579
0,147;3590
0,148;3600
0,149;3612
0,15;3622
0,151;3634
0,152;3643
0,153;3653
0,154;3662
0,155;3672
0,156;3682
0,157;3692
0,158;3701
0,159;3711
0,16;3720
0,161;3730
0,162;3742
0,163;3754
0,164;3765
0,165;3777
0,166;3789
0,167;3801
0,168;3813
0,169;3825
0,17;3837
0,171;3849
0,172;3857
0,173;3865
0,174;3873
0,175;3881
0,176;3889
0,177;3897
0,178;3905
0,179;3913
0,18;3921
0,181;3929
0,182;3940
0,183;3952
0,184;3964
0,185;3976
0,186;3987
0,187;3999
0,188;4011
0,189;4022
0,19;4034
0,191;4046
0,192;4054
0,193;4063
0,194;4072
0,195;4081
0,196;4090
0,197;4099
0,198;4107
0,199;4116
0,2;4125
0,201;4134
0,202;4146
0,203;4159
0,204;4172
0,205;4184
0,206;4197
0,207;4210
0,208;4223
0,209;4236
0,21;4249
0,211;4261
0,212;4267
0,213;4272
0,214;4278
0,215;4283
0,216;4289
0,217;4294
0,218;4300
0,219;4305
0,22;4311
0,221;4316
0,222;4327
0,223;4336
0,224;4346
0,225;4356
0,226;4366
0,227;4376
0,228;4386
0,229;4396
0,23;4406
0,231;4416
0,232;4423
0,233;4431
0,234;4438
0,235;4445
0,236;4453
0,237;4461
0,238;4467
0,239;4475
0,24;4483
0,241;4490
0,242;4494
0,243;4499
0,244;4503
0,245;4508
0,246;4512
0,247;4516
0,248;4521
0,249;4525
0,25;4529
0,251;4533
0,252;4542
0,253;4551
0,254;4560
0,255;4568
0,256;4577
0,257;4585
0,258;4594
0,259;4603
0,26;4612
0,261;4620
0,262;4629
0,263;4638
0,264;4647
0,265;4657
0,266;4666
0,267;4675
0,268;4684
0,269;4693
0,27;4702
0,271;4711
0,272;4719
0,273;4726
0,274;4734
0,275;4741
0,276;4748
0,277;4756
0,278;4763
0,279;4770
0,28;4777
0,281;4785
0,282;4792
0,283;4799
0,284;4807
0,285;4814
0,286;4822
0,287;4829
0,288;4837
0,289;4844
0,29;4851
0,291;4859
0,292;4867
0,293;4875
0,294;4884
0,295;4892
0,296;4900
0,297;4908
0,298;4917
0,299;4925
0,3;4933
0,301;4942
0,302;4952
0,303;4962
0,304;4973
0,305;4984
0,306;4994
0,307;5004
0,308;5014
0,309;5025
0,31;5035
0,311;5045
0,312;5055
0,313;5065
0,314;5074
0,315;5084
0,316;5094
0,317;5103
0,318;5113
0,319;5123
0,32;5133
0,321;5142
0,322;5152
