"quantiles";"revenus"
0,001;2989
0,002;2995
0,003;2999
0,004;3005
0,005;3010
0,006;3015
0,007;3020
0,008;3025
0,009;3030
0,01;3035
0,011;3041
0,012;3048
0,013;3055
0,014;3063
0,015;3071
0,016;3078
0,017;3086
0,018;3093
0,019;3101
0,02;3108
0,021;3116
0,022;3120
0,023;3124
0,024;3128
0,025;3132
0,026;3136
0,027;3140
0,028;3144
0,029;3148
0,03;3152
0,031;3157
0,032;3161
0,033;3166
0,034;3171
0,035;3175
0,036;3180
0,037;3184
0,038;3189
0,039;3194
0,04;3199
0,041;3203
0,042;3211
0,043;3219
0,044;3228
0,045;3236
0,046;3244
0,047;3252
0,048;3260
0,049;3268
0,05;3276
0,051;3284
0,052;3292
0,053;3300
0,054;3308
0,055;3315
0,056;3323
0,057;3331
0,058;3339
0,059;3346
0,06;3354
0,061;3362
0,062;3364
0,063;3367
0,064;3370
0,065;3373
0,066;3375
0,067;3377
0,068;3380
0,069;3383
0,07;3386
0,071;3388
0,072;3392
0,073;3396
0,074;3401
0,075;3405
0,076;3410
0,077;3414
0,078;3418
0,079;3422
0,08;3426
0,081;3431
0,082;3438
0,083;3446
0,084;3454
0,085;3462
0,086;3470
0,087;3477
0,088;3485
0,089;3493
0,09;3501
0,091;3508
0,092;3517
0,093;3525
0,094;3533
0,095;3541
0,096;3549
0,097;3558
0,098;3565
0,099;3574
0,1;3582
0,101;3590
0,102;3598
0,103;3606
0,104;3614
0,105;3622
0,106;3629
0,107;3637
0,108;3645
0,109;3653
0,11;3660
0,111;3668
0,112;3674
0,113;3681
0,114;3687
0,115;3693
0,116;3699
0,117;3706
0,118;3712
0,119;3718
0,12;3724
0,121;3730
0,122;3740
0,123;3749
0,124;3758
0,125;3768
0,126;3777
0,127;3786
0,128;3796
0,129;3805
0,13;3814
0,131;3824
0,132;3833
0,133;3843
0,134;3852
0,135;3861
0,136;3871
0,137;3880
0,138;3890
0,139;3899
0,14;3908
0,141;3918
0,142;3928
0,143;3938
0,144;3948
0,145;3959
0,146;3968
0,147;3979
0,148;3988
0,149;3999
0,15;4009
0,151;4019
0,152;4028
0,153;4037
0,154;4045
0,155;4055
0,156;4063
0,157;4072
0,158;4081
0,159;4090
0,16;4099
0,161;4108
0,162;4119
0,163;4130
0,164;4141
0,165;4152
0,166;4163
0,167;4174
0,168;4185
0,169;4196
0,17;4207
0,171;4218
0,172;4226
0,173;4232
0,174;4240
0,175;4247
0,176;4254
0,177;4262
0,178;4269
0,179;4277
0,18;4284
0,181;4291
0,182;4302
0,183;4313
0,184;4324
0,185;4335
0,186;4345
0,187;4356
0,188;4368
0,189;4378
0,19;4389
0,191;4400
0,192;4408
0,193;4416
0,194;4424
0,195;4433
0,196;4441
0,197;4449
0,198;4457
0,199;4465
0,2;4473
0,201;4481
0,202;4493
0,203;4505
0,204;4516
0,205;4528
0,206;4540
0,207;4552
0,208;4563
0,209;4575
0,21;4587
0,211;4598
0,212;4603
0,213;4609
0,214;4614
0,215;4619
0,216;4624
0,217;4629
0,218;4634
0,219;4639
0,22;4644
0,221;4649
0,222;4659
0,223;4668
0,224;4677
0,225;4686
0,226;4695
0,227;4705
0,228;4714
0,229;4723
0,23;4732
0,231;4741
0,232;4748
0,233;4756
0,234;4762
0,235;4769
0,236;4776
0,237;4783
0,238;4790
0,239;4797
0,24;4804
0,241;4811
0,242;4815
0,243;4819
0,244;4823
0,245;4827
0,246;4831
0,247;4835
0,248;4840
0,249;4843
0,25;4847
0,251;4851
0,252;4860
0,253;4867
0,254;4876
0,255;4884
0,256;4892
0,257;4900
0,258;4908
0,259;4916
0,26;4924
0,261;4932
0,262;4941
0,263;4949
0,264;4958
0,265;4966
0,266;4974
0,267;4983
0,268;4991
0,269;5000
0,27;5008
0,271;5017
0,272;5024
0,273;5031
0,274;5038
0,275;5044
0,276;5052
0,277;5058
0,278;5065
0,279;5072
0,28;5078
0,281;5086
0,282;5092
0,283;5099
0,284;5106
0,285;5112
0,286;5120
0,287;5126
0,288;5133
0,289;5140
0,29;5146
0,291;5154
0,292;5162
0,293;5169
0,294;5177
0,295;5185
0,296;5192
0,297;5200
0,298;5208
0,299;5216
0,3;5223
0,301;5231
0,302;5240
0,303;5250
0,304;5259
0,305;5269
0,306;5279
0,307;5288
0,308;5297
0,309;5307
0,31;5316
0,311;5325
0,312;5335
0,313;5344
0,314;5353
0,315;5361
0,316;5371
0,317;5380
0,318;5389
0,319;5398
0,32;5407
0,321;5416
0,322;5425
0,323;5434
0,324;5443
0,325;5451
0,326;5460
0,327;5469
0,328;5477
0,329;5486
0,33;5495
0,331;5504
0,332;5515
0,333;5526
0,334;5537
0,335;5547
0,336;5558
0,337;5569
0,338;5579
0,339;5590
0,34;5601
0,341;5612
0,342;5622
0,343;5631
0,344;5641
0,345;5651
0,346;5660
0,347;5670
0,348;5680
0,349;5690
0,35;5700
0,351;5709
0,352;5720
0,353;5731
0,354;5742
0,355;5753
0,356;5763
0,357;5775
0,358;5786
0,359;5796
0,36;5807
0,361;5818
0,362;5830
0,363;5841
0,364;5852
0,365;5863
0,366;5874
0,367;5885
0,368;5897
0,369;5908
0,37;5920
0,371;5931
0,372;5941
0,373;5951
0,374;5961
0,375;5971
0,376;5981
0,377;5991
0,378;6001
0,379;6012
0,38;6022
0,381;6032
0,382;6043
0,383;6054
0,384;6066
0,385;6077
0,386;6089
0,387;6100
0,388;6111
0,389;6123
0,39;6134
0,391;6146
0,392;6159
0,393;6172
0,394;6186
0,395;6199
0,396;6212
0,397;6226
0,398;6239
0,399;6252
0,4;6266
0,401;6280
0,402;6289
0,403;6298
0,404;6308
0,405;6317
0,406;6326
0,407;6336
0,408;6344
0,409;6353
0,41;6363
0,411;6372
0,412;6385
0,413;6398
0,414;6412
0,415;6425
0,416;6438
0,417;6451
0,418;6465
0,419;6477
0,42;6490
0,421;6504
0,422;6518
0,423;6532
0,424;6546
0,425;6560
0,426;6574
0,427;6588
0,428;6602
0,429;6616
0,43;6631
0,431;6645
0,432;6661
0,433;6677
0,434;6693
0,435;6709
0,436;6725
0,437;6741
0,438;6757
0,439;6773
0,44;6789
0,441;6806
0,442;6822
0,443;6838
0,444;6855
0,445;6871
0,446;6888
0,447;6904
0,448;6921
0,449;6937
0,45;6953
0,451;6970
0,452;6985
0,453;7002
0,454;7017
0,455;7033
0,456;7048
0,457;7063
0,458;7079
0,459;7094
0,46;7110
0,461;7126
0,462;7144
0,463;7163
0,464;7182
0,465;7201
0,466;7220
0,467;7238
0,468;7257
0,469;7276
0,47;7295
0,471;7314
0,472;7335
0,473;7356
0,474;7377
0,475;7398
0,476;7419
0,477;7440
0,478;7461
0,479;7483
0,48;7503
0,481;7525
0,482;7544
0,483;7563
0,484;7582
0,485;7601
0,486;7620
0,487;7639
0,488;7658
0,489;7677
0,49;7696
0,491;7715
0,492;7739
0,493;7762
0,494;7785
0,495;7810
0,496;7833
0,497;7856
0,498;7880
0,499;7903
0,5;7926
0,501;7950
0,502;7971
0,503;7992
0,504;8012
0,505;8032
0,506;8052
0,507;8073
0,508;8094
0,509;8113
0,51;8134
0,511;8154
0,512;8180
0,513;8205
0,514;8231
0,515;8257
0,516;8282
0,517;8307
0,518;8333
0,519;8358
0,52;8384
0,521;8410
0,522;8438
0,523;8466
0,524;8495
0,525;8523
0,526;8552
0,527;8580
0,528;8609
0,529;8637
0,53;8666
0,531;8694
0,532;8716
0,533;8737
0,534;8759
0,535;8781
0,536;8802
0,537;8823
0,538;8845
0,539;8866
0,54;8888
0,541;8910
0,542;8940
0,543;8970
0,544;9000
0,545;9030
0,546;9060
0,547;9090
0,548;9121
0,549;9151
0,55;9181
0,551;9211
0,552;9237
0,553;9264
0,554;9289
0,555;9315
0,556;9342
0,557;9368
0,558;9393
0,559;9420
0,56;9446
0,561;9472
0,562;9504
0,563;9535
0,564;9567
0,565;9599
0,566;9630
0,567;9661
0,568;9694
0,569;9725
0,57;9756
0,571;9788
0,572;9823
0,573;9858
0,574;9892
0,575;9927
0,576;9962
0,577;9996
0,578;10031
0,579;10065
0,58;10100
0,581;10135
0,582;10171
0,583;10207
0,584;10242
0,585;10277
0,586;10313
0,587;10348
0,588;10384
0,589;10419
0,59;10455
0,591;10490
0,592;10534
0,593;10577
0,594;10620
0,595;10663
0,596;10706
0,597;10750
0,598;10792
0,599;10835
0,6;10879
0,601;10923
0,602;10971
0,603;11020
0,604;11068
0,605;11116
0,606;11164
0,607;11212
0,608;11261
0,609;11309
0,61;11357
0,611;11406
0,612;11447
0,613;11488
0,614;11530
0,615;11571
0,616;11612
0,617;11653
0,618;11694
0,619;11736
0,62;11777
0,621;11819
0,622;11878
0,623;11937
0,624;11997
0,625;12057
0,626;12117
0,627;12176
0,628;12236
0,629;12295
0,63;12354
0,631;12415
0,632;12474
0,633;12535
0,634;12594
0,635;12655
0,636;12715
0,637;12775
0,638;12835
0,639;12896
0,64;12955
0,641;13016
0,642;13066
0,643;13116
0,644;13168
0,645;13218
0,646;13268
0,647;13318
0,648;13370
0,649;13420
0,65;13470
0,651;13521
0,652;13592
0,653;13664
0,654;13735
0,655;13806
0,656;13878
0,657;13950
0,658;14020
0,659;14092
0,66;14163
0,661;14235
0,662;14295
0,663;14354
0,664;14414
0,665;14474
0,666;14534
0,667;14593
0,668;14652
0,669;14713
0,67;14772
0,671;14832
0,672;14899
0,673;14966
0,674;15032
0,675;15099
0,676;15166
0,677;15234
0,678;15301
0,679;15367
0,68;15434
0,681;15501
0,682;15570
0,683;15638
0,684;15707
0,685;15775
0,686;15844
0,687;15912
0,688;15980
0,689;16049
0,69;16118
0,691;16186
0,692;16243
0,693;16299
0,694;16356
0,695;16412
0,696;16469
0,697;16525
0,698;16582
0,699;16639
0,7;16696
0,701;16753
0,702;16831
0,703;16910
0,704;16988
0,705;17067
0,706;17145
0,707;17224
0,708;17302
0,709;17381
0,71;17459
0,711;17538
0,712;17603
0,713;17669
0,714;17733
0,715;17798
0,716;17864
0,717;17928
0,718;17994
0,719;18059
0,72;18123
0,721;18189
0,722;18275
0,723;18361
0,724;18448
0,725;18534
0,726;18620
0,727;18707
0,728;18793
0,729;18879
0,73;18964
0,731;19051
0,732;19142
0,733;19233
0,734;19324
0,735;19415
0,736;19506
0,737;19597
0,738;19688
0,739;19780
0,74;19870
