"quantiles";"revenus"
0,001;310196
0,002;310775
0,003;311290
0,004;311869
0,005;312448
0,006;312962
0,007;313541
0,008;314120
0,009;314635
0,01;315214
0,011;315793
0,012;316565
0,013;317401
0,014;318238
0,015;319074
0,016;319846
0,017;320682
0,018;321518
0,019;322355
0,02;323127
0,021;323967
0,022;324419
0,023;324871
0,024;325323
0,025;325775
0,026;326227
0,027;326615
0,028;327067
0,029;327519
0,03;327971
0,031;328424
0,032;328941
0,033;329459
0,034;329976
0,035;330429
0,036;330946
0,037;331463
0,038;331980
0,039;332498
0,04;333015
0,041;333533
0,042;334373
0,043;335279
0,044;336185
0,045;337025
0,046;337931
0,047;338772
0,048;339677
0,049;340518
0,05;341424
0,051;342330
0,052;343170
0,053;344011
0,054;344852
0,055;345693
0,056;346534
0,057;347375
0,058;348216
0,059;349057
0,06;349898
0,061;350742
0,062;351001
0,063;351326
0,064;351586
0,065;351910
0,066;352170
0,067;352430
0,068;352754
0,069;353014
0,07;353338
0,071;353599
0,072;354054
0,073;354510
0,074;354966
0,075;355486
0,076;355942
0,077;356398
0,078;356853
0,079;357309
0,08;357765
0,081;358221
0,082;359068
0,083;359915
0,084;360761
0,085;361608
0,086;362455
0,087;363302
0,088;364149
0,089;364996
0,09;365843
0,091;366690
0,092;367602
0,093;368449
0,094;369361
0,095;370273
0,096;371120
0,097;372032
0,098;372878
0,099;373790
0,1;374703
0,101;375553
0,102;376403
0,103;377253
0,104;378103
0,105;378953
0,106;379804
0,107;380654
0,108;381439
0,109;382289
0,11;383139
0,111;383996
0,112;384655
0,113;385314
0,114;385974
0,115;386633
0,116;387358
0,117;388017
0,118;388676
0,119;389334
0,12;389995
0,121;390655
0,122;391712
0,123;392703
0,124;393759
0,125;394750
0,126;395740
0,127;396797
0,128;397788
0,129;398844
0,13;399835
0,131;400893
0,132;401885
0,133;402943
0,134;403936
0,135;404928
0,136;405986
0,137;406978
0,138;408036
0,139;409028
0,14;410020
0,141;411078
0,142;412137
0,143;413261
0,144;414319
0,145;415443
0,146;416502
0,147;417626
0,148;418684
0,149;419808
0,15;420867
0,151;421994
0,152;422922
0,153;423917
0,154;424845
0,155;425840
0,156;426768
0,157;427763
0,158;428691
0,159;429686
0,16;430615
0,161;431612
0,162;432810
0,163;434007
0,164;435138
0,165;436335
0,166;437532
0,167;438730
0,168;439927
0,169;441124
0,17;442321
0,171;443525
0,172;444327
0,173;445062
0,174;445864
0,175;446666
0,176;447468
0,177;448270
0,178;449072
0,179;449875
0,18;450677
0,181;451481
0,182;452621
0,183;453828
0,184;454968
0,185;456175
0,186;457315
0,187;458522
0,188;459729
0,189;460869
0,19;462076
0,191;463216
0,192;464087
0,193;464959
