"quantiles";"revenus"
0,001;2926
0,002;2931
0,003;2936
0,004;2941
0,005;2947
0,006;2951
0,007;2957
0,008;2962
0,009;2967
0,01;2972
0,011;2977
0,012;2984
0,013;2992
0,014;2999
0,015;3007
0,016;3014
0,017;3022
0,018;3029
0,019;3037
0,02;3044
0,021;3052
0,022;3056
0,023;3060
0,024;3064
0,025;3068
0,026;3072
0,027;3076
0,028;3080
0,029;3084
0,03;3088
0,031;3092
0,032;3097
0,033;3102
0,034;3106
0,035;3110
0,036;3115
0,037;3120
0,038;3125
0,039;3129
0,04;3134
0,041;3139
0,042;3146
0,043;3155
0,044;3163
0,045;3170
0,046;3179
0,047;3186
0,048;3195
0,049;3202
0,05;3211
0,051;3219
0,052;3227
0,053;3234
0,054;3242
0,055;3250
0,056;3257
0,057;3265
0,058;3273
0,059;3280
0,06;3288
0,061;3296
0,062;3298
0,063;3301
0,064;3303
0,065;3306
0,066;3309
0,067;3311
0,068;3314
0,069;3316
0,07;3319
0,071;3322
0,072;3326
0,073;3330
0,074;3334
0,075;3339
0,076;3343
0,077;3347
0,078;3351
0,079;3356
0,08;3360
0,081;3364
0,082;3372
0,083;3379
0,084;3387
0,085;3395
0,086;3403
0,087;3410
0,088;3418
0,089;3426
0,09;3434
0,091;3441
0,092;3450
0,093;3457
0,094;3466
0,095;3474
0,096;3482
0,097;3490
0,098;3498
0,099;3506
0,1;3515
0,101;3522
0,102;3530
0,103;3538
0,104;3546
0,105;3553
0,106;3561
0,107;3569
0,108;3576
0,109;3584
0,11;3592
0,111;3599
0,112;3605
0,113;3611
0,114;3617
0,115;3623
0,116;3630
0,117;3636
0,118;3642
0,119;3648
0,12;3654
0,121;3660
0,122;3670
0,123;3679
0,124;3688
0,125;3697
0,126;3706
0,127;3716
0,128;3725
0,129;3735
0,13;3744
0,131;3753
0,132;3762
0,133;3772
0,134;3781
0,135;3790
0,136;3800
0,137;3809
0,138;3819
0,139;3828
0,14;3837
0,141;3846
0,142;3856
0,143;3866
0,144;3876
0,145;3886
0,146;3896
0,147;3906
0,148;3916
0,149;3926
0,15;3936
0,151;3946
0,152;3954
0,153;3964
0,154;3972
0,155;3981
0,156;3990
0,157;3999
0,158;4007
0,159;4016
0,16;4025
0,161;4034
0,162;4045
0,163;4056
0,164;4066
0,165;4077
0,166;4088
0,167;4099
0,168;4110
0,169;4121
0,17;4132
0,171;4143
0,172;4150
0,173;4157
0,174;4164
0,175;4172
0,176;4179
0,177;4186
0,178;4194
0,179;4201
0,18;4208
0,181;4216
0,182;4226
0,183;4237
0,184;4248
0,185;4259
0,186;4269
0,187;4280
0,188;4291
0,189;4302
0,19;4313
0,191;4323
0,192;4331
0,193;4339
0,194;4347
0,195;4356
0,196;4364
0,197;4372
0,198;4380
0,199;4388
0,2;4396
0,201;4404
0,202;4415
0,203;4427
0,204;4439
0,205;4450
0,206;4462
0,207;4474
0,208;4485
0,209;4497
0,21;4509
0,211;4520
0,212;4525
0,213;4530
0,214;4535
0,215;4540
0,216;4545
0,217;4550
0,218;4555
0,219;4560
0,22;4565
0,221;4570
0,222;4579
0,223;4588
0,224;4596
0,225;4606
0,226;4615
0,227;4624
0,228;4633
0,229;4641
0,23;4651
0,231;4659
0,232;4666
0,233;4673
0,234;4680
0,235;4686
0,236;4693
0,237;4700
0,238;4706
0,239;4713
0,24;4720
0,241;4727
0,242;4731
0,243;4735
0,244;4738
0,245;4743
0,246;4747
0,247;4750
0,248;4755
0,249;4758
0,25;4762
0,251;4766
0,252;4774
0,253;4782
0,254;4790
0,255;4798
0,256;4806
0,257;4814
0,258;4822
0,259;4830
0,26;4838
0,261;4845
0,262;4854
0,263;4862
0,264;4870
0,265;4879
0,266;4887
0,267;4895
0,268;4904
0,269;4912
0,27;4920
0,271;4929
0,272;4936
0,273;4942
0,274;4949
0,275;4956
0,276;4963
0,277;4969
0,278;4975
0,279;4982
0,28;4989
0,281;4996
0,282;5002
0,283;5009
0,284;5016
0,285;5022
0,286;5029
0,287;5036
0,288;5043
0,289;5049
0,29;5055
0,291;5063
0,292;5070
0,293;5077
0,294;5085
0,295;5093
0,296;5100
0,297;5107
0,298;5115
0,299;5123
0,3;5130
0,301;5138
0,302;5147
0,303;5156
0,304;5165
0,305;5175
0,306;5184
0,307;5193
0,308;5202
0,309;5211
0,31;5220
0,311;5229
0,312;5238
0,313;5246
0,314;5255
0,315;5263
0,316;5272
0,317;5281
0,318;5289
0,319;5298
0,32;5307
0,321;5315
0,322;5324
0,323;5332
0,324;5341
0,325;5349
0,326;5358
0,327;5366
0,328;5374
0,329;5382
0,33;5391
0,331;5399
0,332;5410
0,333;5420
0,334;5430
0,335;5440
0,336;5451
0,337;5461
0,338;5471
0,339;5482
0,34;5492
0,341;5502
0,342;5511
0,343;5521
0,344;5530
0,345;5539
0,346;5548
0,347;5558
0,348;5567
0,349;5577
0,35;5586
0,351;5596
0,352;5606
0,353;5616
0,354;5627
0,355;5638
0,356;5648
0,357;5659
0,358;5669
0,359;5680
0,36;5690
0,361;5701
0,362;5712
0,363;5723
0,364;5733
0,365;5744
0,366;5755
0,367;5766
0,368;5777
0,369;5787
0,37;5799
0,371;5810
0,372;5819
0,373;5829
0,374;5839
0,375;5848
0,376;5858
0,377;5868
0,378;5877
0,379;5887
0,38;5897
0,381;5906
0,382;5917
0,383;5928
0,384;5939
0,385;5950
0,386;5961
0,387;5971
0,388;5982
0,389;5993
0,39;6004
0,391;6015
0,392;6027
0,393;6040
0,394;6053
0,395;6065
0,396;6079
0,397;6092
0,398;6104
0,399;6117
0,4;6130
0,401;6143
0,402;6152
0,403;6162
0,404;6171
0,405;6181
0,406;6190
0,407;6199
0,408;6208
0,409;6218
0,41;6227
0,411;6237
0,412;6250
0,413;6263
0,414;6277
0,415;6290
0,416;6304
0,417;6317
0,418;6331
0,419;6343
0,42;6357
0,421;6370
0,422;6385
0,423;6399
0,424;6413
0,425;6428
0,426;6442
0,427;6456
0,428;6470
0,429;6485
0,43;6499
0,431;6513
0,432;6530
0,433;6546
0,434;6562
0,435;6579
0,436;6595
0,437;6611
0,438;6628
0,439;6644
0,44;6660
0,441;6677
0,442;6694
0,443;6710
0,444;6727
0,445;6744
0,446;6761
0,447;6778
0,448;6795
0,449;6811
0,45;6828
0,451;6845
0,452;6861
0,453;6877
0,454;6892
0,455;6909
0,456;6924
0,457;6939
0,458;6956
0,459;6971
0,46;6987
0,461;7003
0,462;7022
0,463;7040
0,464;7059
0,465;7079
0,466;7097
0,467;7116
0,468;7135
0,469;7153
0,47;7173
0,471;7192
0,472;7213
0,473;7233
0,474;7255
0,475;7276
0,476;7296
0,477;7318
0,478;7339
0,479;7360
0,48;7380
0,481;7402
0,482;7421
0,483;7440
0,484;7459
0,485;7478
0,486;7496
0,487;7515
0,488;7534
0,489;7553
0,49;7572
0,491;7591
0,492;7614
0,493;7637
0,494;7660
0,495;7684
0,496;7707
0,497;7731
0,498;7754
0,499;7777
0,5;7800
0,501;7824
0,502;7844
0,503;7865
0,504;7884
0,505;7905
0,506;7924
0,507;7945
0,508;7965
0,509;7984
0,51;8005
0,511;8024
0,512;8050
0,513;8075
0,514;8100
0,515;8125
0,516;8150
0,517;8175
0,518;8201
0,519;8225
0,52;8250
0,521;8276
0,522;8303
0,523;8331
0,524;8359
0,525;8386
0,526;8415
0,527;8442
0,528;8471
0,529;8498
0,53;8526
0,531;8554
0,532;8575
0,533;8596
0,534;8616
0,535;8638
0,536;8658
0,537;8679
0,538;8700
0,539;8721
0,54;8742
0,541;8763
0,542;8792
0,543;8821
0,544;8851
0,545;8880
0,546;8909
0,547;8938
0,548;8967
0,549;8997
0,55;9026
0,551;9055
0,552;9080
0,553;9106
0,554;9131
0,555;9156
0,556;9182
0,557;9207
0,558;9232
0,559;9258
0,56;9283
0,561;9308
0,562;9339
0,563;9369
0,564;9399
0,565;9431
0,566;9461
0,567;9491
0,568;9522
0,569;9553
0,57;9583
0,571;9613
0,572;9647
0,573;9681
0,574;9714
0,575;9748
0,576;9781
0,577;9814
0,578;9848
0,579;9881
0,58;9915
0,581;9949
0,582;9983
0,583;10017
0,584;10051
0,585;10085
0,586;10120
0,587;10154
0,588;10189
0,589;10222
0,59;10257
0,591;10291
0,592;10333
0,593;10375
0,594;10416
0,595;10458
0,596;10500
0,597;10542
0,598;10583
0,599;10625
0,6;10667
0,601;10711
0,602;10761
0,603;10811
0,604;10861
0,605;10911
0,606;10961
0,607;11010
0,608;11061
0,609;11111
0,61;11160
0,611;11211
0,612;11253
0,613;11296
0,614;11338
0,615;11381
0,616;11423
0,617;11465
0,618;11508
0,619;11550
0,62;11593
0,621;11636
0,622;11697
0,623;11758
0,624;11819
0,625;11881
0,626;11942
0,627;12003
0,628;12064
0,629;12125
0,63;12186
0,631;12248
0,632;12309
0,633;12371
0,634;12432
0,635;12495
0,636;12557
0,637;12618
0,638;12680
0,639;12742
0,64;12803
0,641;12865
0,642;12917
0,643;12968
0,644;13021
0,645;13072
0,646;13124
0,647;13175
0,648;13227
0,649;13279
0,65;13330
0,651;13382
0,652;13454
0,653;13527
0,654;13599
0,655;13672
0,656;13745
0,657;13817
0,658;13889
0,659;13962
0,66;14035
0,661;14108
0,662;14168
0,663;14228
0,664;14289
0,665;14350
0,666;14410
0,667;14471
0,668;14531
0,669;14592
0,67;14653
0,671;14713
0,672;14781
0,673;14849
0,674;14916
0,675;14984
0,676;15053
0,677;15121
0,678;15189
0,679;15256
0,68;15324
0,681;15392
0,682;15461
0,683;15530
0,684;15601
0,685;15670
0,686;15739
0,687;15808
0,688;15877
0,689;15947
0,69;16016
0,691;16085
0,692;16143
0,693;16201
0,694;16258
0,695;16315
0,696;16372
0,697;16430
0,698;16487
0,699;16545
0,7;16602
0,701;16660
0,702;16739
0,703;16819
0,704;16898
0,705;16978
0,706;17057
0,707;17138
0,708;17217
0,709;17297
0,71;17376
0,711;17456
0,712;17521
0,713;17588
0,714;17653
0,715;17719
0,716;17785
0,717;17851
0,718;17917
0,719;17983
0,72;18048
0,721;18115
0,722;18202
0,723;18289
0,724;18377
0,725;18464
0,726;18551
0,727;18639
0,728;18726
0,729;18813
0,73;18900
0,731;18988
0,732;19080
0,733;19171
0,734;19264
0,735;19356
0,736;19448
0,737;19541
0,738;19633
0,739;19726
0,74;19817
0,741;19909
0,742;19968
0,743;20025
0,744;20083
0,745;20141
0,746;20199
0,747;20257
0,748;20315
0,749;20373
0,75;20431
0,751;20489
0,752;20571
0,753;20654
0,754;20737
0,755;20820
0,756;20903
0,757;20986
0,758;21069
0,759;21151
0,76;21234
0,761;21317
0,762;21404
0,763;21491
0,764;21578
0,765;21665
0,766;21752
0,767;21840
0,768;21926
0,769;22014
0,77;22100
0,771;22188
0,772;22280
0,773;22372
0,774;22464
0,775;22556
0,776;22650
0,777;22742
0,778;22834
0,779;22926
0,78;23019
0,781;23111
0,782;23208
0,783;23305
0,784;23402
0,785;23499
0,786;23596
0,787;23693
0,788;23790
0,789;23886
0,79;23983
0,791;24080
0,792;24183
0,793;24285
0,794;24388
0,795;24491
0,796;24593
0,797;24696
0,798;24798
0,799;24901
0,8;24999
0,801;25095
0,802;25176
0,803;25256
0,804;25337
0,805;25417
0,806;25498
0,807;25578
0,808;25659
0,809;25738
0,81;25819
0,811;25899
0,812;26010
0,813;26122
0,814;26233
0,815;26344
0,816;26455
0,817;26566
0,818;26677
0,819;26788
0,82;26899
0,821;27010
0,822;27140
0,823;27269
0,824;27399
0,825;27528
0,826;27657
0,827;27787
0,828;27917
0,829;28046
0,83;28175
0,831;28305
0,832;28421
0,833;28537
0,834;28653
0,835;28770
0,836;28885
0,837;29002
0,838;29118
0,839;29234
0,84;29350
0,841;29466
0,842;29601
0,843;29735
0,844;29870
0,845;30005
0,846;30140
0,847;30274
0,848;30409
0,849;30544
0,85;30679
0,851;30814
0,852;30947
0,853;31079
0,854;31211
0,855;31344
0,856;31477
0,857;31609
0,858;31742
0,859;31875
0,86;32008
0,861;32140
0,862;32320
0,863;32500
0,864;32680
0,865;32860
0,866;33040
0,867;33220
0,868;33400
0,869;33580
0,87;33760
0,871;33940
0,872;34086
0,873;34231
0,874;34377
0,875;34522
0,876;34668
0,877;34814
0,878;34960
0,879;35105
0,88;35250
0,881;35396
0,882;35573
0,883;35749
0,884;35927
0,885;36104
0,886;36280
0,887;36457
0,888;36634
0,889;36810
0,89;36988
0,891;37165
0,892;37423
0,893;37681
0,894;37939
0,895;38197
0,896;38455
0,897;38714
0,898;38972
0,899;39230
0,9;39483
0,901;39732
0,902;39964
0,903;40195
0,904;40427
0,905;40658
0,906;40890
0,907;41121
0,908;41352
0,909;41584
0,91;41815
0,911;42047
0,912;42347
0,913;42647
0,914;42948
0,915;43249
0,916;43550
0,917;43850
0,918;44151
0,919;44452
0,92;44752
0,921;45052
0,922;45341
0,923;45629
0,924;45917
0,925;46205
0,926;46494
0,927;46782
0,928;47070
0,929;47358
0,93;47647
0,931;47935
0,932;48381
0,933;48828
0,934;49274
0,935;49720
0,936;50166
0,937;50612
0,938;51058
0,939;51504
0,94;51950
0,941;52397
0,942;52914
0,943;53430
0,944;53947
0,945;54464
0,946;54981
0,947;55498
0,948;56015
0,949;56531
0,95;57048
0,951;57564
0,952;58194
0,953;58825
0,954;59456
0,955;60086
0,956;60717
0,957;61347
0,958;61977
0,959;62608
0,96;63239
0,961;63870
0,962;64892
0,963;65916
0,964;66940
0,965;67964
0,966;68988
0,967;70011
0,968;71034
0,969;72058
0,97;73082
0,971;74106
0,972;75738
0,973;77370
0,974;79002
0,975;80635
0,976;82268
0,977;83900
0,978;85532
0,979;87164
0,98;88797
0,981;90429
0,982;93731
0,983;97034
0,984;100335
0,985;103638
0,986;106939
0,987;110242
0,988;113544
0,989;116846
0,99;120148
0,991;123451
0,992;155225
0,993;187001
0,994;218776
0,995;250552
0,996;282326
0,997;314102
0,998;345877
0,999;377652
1;996709
