"quantiles";"revenus"
0,001;355920
0,002;356538
0,003;357087
0,004;357705
0,005;358323
0,006;358873
0,007;359491
0,008;360109
0,009;360658
0,01;361276
0,011;361895
0,012;362719
0,013;363613
0,014;364507
0,015;365400
0,016;366225
0,017;367119
0,018;368012
0,019;368906
0,02;369731
0,021;370626
0,022;371107
0,023;371589
0,024;372071
0,025;372553
0,026;373034
0,027;373447
0,028;373929
0,029;374411
0,03;374893
0,031;375375
0,032;375925
0,033;376476
0,034;377026
0,035;377508
0,036;378059
0,037;378609
0,038;379160
0,039;379711
0,04;380261
0,041;380814
0,042;381711
0,043;382678
0,044;383645
0,045;384542
0,046;385509
0,047;386406
0,048;387373
0,049;388271
0,05;389237
0,051;390204
0,052;391102
0,053;391999
0,054;392897
0,055;393794
0,056;394692
0,057;395590
0,058;396487
0,059;397385
0,06;398283
0,061;399181
0,062;399458
0,063;399803
0,064;400080
0,065;400426
0,066;400702
0,067;400979
0,068;401324
0,069;401601
0,07;401946
0,071;402223
0,072;402707
0,073;403191
0,074;403675
0,075;404228
0,076;404712
0,077;405196
0,078;405679
0,079;406163
0,08;406647
0,081;407132
0,082;408032
0,083;408932
0,084;409832
0,085;410732
0,086;411632
0,087;412532
0,088;413432
0,089;414332
0,09;415232
0,091;416134
0,092;417106
0,093;418009
0,094;418981
0,095;419953
0,096;420855
0,097;421827
0,098;422730
0,099;423702
0,1;424674
0,101;425586
0,102;426499
0,103;427411
0,104;428324
0,105;429236
0,106;430149
0,107;431061
0,108;431904
0,109;432816
0,11;433729
0,111;434641
0,112;435343
0,113;436045
0,114;436747
0,115;437449
0,116;438221
0,117;438923
0,118;439625
0,119;440327
0,12;441029
0,121;441731
0,122;442855
0,123;443909
0,124;445033
0,125;446086
0,126;447140
0,127;448264
0,128;449318
0,129;450441
0,13;451495
0,131;452619
0,132;453673
0,133;454796
0,134;455850
0,135;456904
0,136;458028
0,137;459081
0,138;460205
0,139;461259
0,14;462312
0,141;463436
0,142;464560
0,143;465754
0,144;466878
0,145;468072
0,146;469196
0,147;470390
0,148;471514
0,149;472708
0,15;473832
0,151;475033
0,152;476022
0,153;477081
0,154;478070
0,155;479130
0,156;480119
0,157;481178
0,158;482167
0,159;483227
0,16;484215
0,161;485278
0,162;486554
0,163;487829
0,164;489034
0,165;490309
0,166;491585
0,167;492860
0,168;494136
0,169;495411
0,17;496687
0,171;497962
0,172;498812
0,173;499592
0,174;500442
0,175;501293
0,176;502143
0,177;502993
0,178;503844
0,179;504694
0,18;505544
0,181;506398
0,182;507607
0,183;508888
0,184;510097
0,185;511378
0,186;512587
0,187;513867
0,188;515148
0,189;516357
0,19;517638
0,191;518847
0,192;519772
0,193;520697
0,194;521622
0,195;522618
0,196;523542
0,197;524467
0,198;525392
0,199;526317
0,2;527242
0,201;528172
0,202;529460
0,203;530819
0,204;532179
0,205;533467
0,206;534826
0,207;536186
0,208;537473
0,209;538831
0,21;540192
0,211;541489
0,212;542065
0,213;542641
0,214;543217
0,215;543793
0,216;544369
0,217;544945
0,218;545521
0,219;546098
0,22;546674
0,221;547252
0,222;548335
0,223;549347
0,224;550358
0,225;551442
0,226;552454
0,227;553537
0,228;554549
0,229;555560
0,23;556644
0,231;557656
0,232;558451
0,233;559247
0,234;559970
0,235;560765
0,236;561560
0,237;562355
0,238;563078
0,239;563873
0,24;564669
0,241;565467
0,242;565902
0,243;566337
0,244;566772
0,245;567280
0,246;567715
0,247;568150
0,248;568658
0,249;569093
0,25;569529
0,251;569964
0,252;570907
0,253;571777
0,254;572720
0,255;573591
0,256;574534
0,257;575404
0,258;576347
0,259;577217
0,26;578160
0,261;579031
0,262;579974
0,263;580917
0,264;581860
0,265;582803
0,266;583746
0,267;584689
0,268;585632
0,269;586575
0,27;587517
0,271;588460
0,272;589258
0,273;589984
0,274;590782
0,275;591507
0,276;592305
0,277;593030
0,278;593756
0,279;594553
0,28;595279
0,281;596078
0,282;596805
0,283;597531
0,284;598330
0,285;599057
0,286;599856
0,287;600583
0,288;601382
0,289;602108
0,29;602835
0,291;603638
0,292;604515
0,293;605318
0,294;606195
0,295;607072
0,296;607875
0,297;608752
0,298;609628
0,299;610505
0,3;611308
0,301;612187
0,302;613213
0,303;614238
0,304;615263
0,305;616362
0,306;617387
0,307;618412
0,308;619437
0,309;620463
0,31;621488
0,311;622514
0,312;623540
0,313;624493
0,314;625446
0,315;626398
0,316;627425
0,317;628377
0,318;629330
0,319;630356
0,32;631309
0,321;632269
0,322;633228
0,323;634188
0,324;635147
0,325;636106
0,326;637066
0,327;638025
0,328;638911
0,329;639871
0,33;640830
0,331;641793
0,332;642978
0,333;644089
0,334;645274
0,335;646385
0,336;647570
0,337;648756
0,338;649867
0,339;651052
0,34;652163
0,341;653355
0,342;654397
0,343;655440
0,344;656483
0,345;657526
0,346;658569
0,347;659611
0,348;660654
0,349;661772
0,35;662814
0,351;663868
0,352;664997
0,353;666200
0,354;667404
0,355;668608
0,356;669737
0,357;670941
0,358;672145
0,359;673274
0,36;674478
0,361;675683
0,362;676888
0,363;678094
0,364;679299
0,365;680505
0,366;681710
0,367;682916
0,368;684121
0,369;685326
0,37;686607
0,371;687818
0,372;688877
0,373;689936
0,374;691071
0,375;692130
0,376;693264
0,377;694324
0,378;695383
0,379;696517
0,38;697577
0,381;698637
0,382;699850
0,383;701062
0,384;702274
0,385;703487
0,386;704699
0,387;705911
0,388;707124
0,389;708335
0,39;709548
0,391;710763
0,392;712129
0,393;713572
0,394;715014
0,395;716380
0,396;717823
0,397;719265
0,398;720631
0,399;722069
0,4;723516
0,401;724959
0,402;726094
0,403;727228
0,404;728362
0,405;729496
0,406;730631
0,407;731765
0,408;732805
0,409;733939
0,41;735073
0,411;736208
0,412;737814
0,413;739421
0,414;741028
0,415;742635
0,416;744242
0,417;745849
0,418;747456
0,419;748968
0,42;750575
0,421;752189
0,422;753898
0,423;755607
0,424;757317
0,425;759026
0,426;760735
0,427;762444
0,428;764153
0,429;765863
0,43;767572
0,431;769288
0,432;771290
0,433;773197
0,434;775104
0,435;777106
0,436;779013
0,437;780920
0,438;782922
0,439;784829
0,44;786736
0,441;788744
0,442;790753
0,443;792666
0,444;794675
0,445;796683
0,446;798692
0,447;800700
0,448;802709
0,449;804622
0,45;806630
0,451;808659
0,452;810495
0,453;812427
0,454;814263
0,455;816195
0,456;818030
0,457;819866
0,458;821798
0,459;823634
0,46;825566
0,461;827415
0,462;829654
0,463;831893
0,464;834132
0,465;836468
0,466;838707
0,467;840946
0,468;843184
0,469;845423
0,47;847759
0,471;850005
0,472;852544
0,473;854986
0,474;857525
0,475;860064
0,476;862505
0,477;865044
0,478;867583
0,479;870122
0,48;872563
0,481;875118
0,482;877378
0,483;879639
0,484;881899
0,485;884159
0,486;886321
0,487;888582
0,488;890842
0,489;893102
0,49;895363
0,491;897635
0,492;900401
0,493;903168
0,494;905934
0,495;908799
0,496;911566
0,497;914332
0,498;917099
0,499;919862
0,5;922631
0,501;925435
0,502;927839
0,503;930242
0,504;932545
0,505;934949
0,506;937252
0,507;939655
0,508;942059
0,509;944362
