"quantiles";"revenus"
0,001;3049
0,002;3055
0,003;3059
0,004;3065
0,005;3070
0,006;3075
0,007;3080
0,008;3085
0,009;3090
0,01;3095
0,011;3100
0,012;3107
0,013;3115
0,014;3123
0,015;3130
0,016;3137
0,017;3145
0,018;3152
0,019;3160
0,02;3167
0,021;3175
0,022;3179
0,023;3183
0,024;3187
0,025;3191
0,026;3195
0,027;3199
0,028;3203
0,029;3207
0,03;3211
0,031;3215
0,032;3220
0,033;3224
0,034;3229
0,035;3233
0,036;3238
0,037;3243
0,038;3247
0,039;3252
0,04;3257
0,041;3261
0,042;3269
0,043;3277
0,044;3286
0,045;3293
0,046;3301
0,047;3309
0,048;3317
0,049;3325
0,05;3333
0,051;3341
0,052;3349
0,053;3357
0,054;3364
0,055;3372
0,056;3380
0,057;3387
0,058;3395
0,059;3403
0,06;3410
0,061;3418
0,062;3420
0,063;3423
0,064;3426
0,065;3429
0,066;3431
0,067;3433
0,068;3436
0,069;3439
0,07;3442
0,071;3444
0,072;3448
0,073;3452
0,074;3456
0,075;3461
0,076;3465
0,077;3469
0,078;3474
0,079;3478
0,08;3482
0,081;3486
0,082;3494
0,083;3501
0,084;3509
0,085;3517
0,086;3525
0,087;3532
0,088;3540
0,089;3548
0,09;3555
0,091;3563
0,092;3571
0,093;3579
0,094;3587
0,095;3596
0,096;3604
0,097;3612
0,098;3620
0,099;3628
0,1;3636
0,101;3644
0,102;3652
0,103;3660
0,104;3667
0,105;3675
0,106;3683
0,107;3691
0,108;3698
0,109;3706
0,11;3713
0,111;3721
0,112;3727
0,113;3733
0,114;3739
0,115;3745
0,116;3752
0,117;3758
0,118;3764
0,119;3770
0,12;3776
0,121;3782
0,122;3791
0,123;3800
0,124;3810
0,125;3819
0,126;3828
0,127;3837
0,128;3846
0,129;3856
0,13;3865
0,131;3874
0,132;3883
0,133;3893
0,134;3902
0,135;3911
0,136;3921
0,137;3930
0,138;3939
0,139;3948
0,14;3957
0,141;3967
0,142;3976
0,143;3986
0,144;3996
0,145;4006
0,146;4016
0,147;4026
0,148;4035
0,149;4046
0,15;4055
0,151;4065
0,152;4074
0,153;4083
0,154;4091
0,155;4100
0,156;4109
0,157;4118
0,158;4126
0,159;4135
0,16;4144
0,161;4153
0,162;4164
0,163;4174
0,164;4185
0,165;4196
0,166;4207
0,167;4218
0,168;4228
0,169;4239
0,17;4250
0,171;4261
0,172;4269
0,173;4275
0,174;4282
0,175;4290
0,176;4297
0,177;4304
0,178;4312
0,179;4319
0,18;4326
0,181;4334
0,182;4344
0,183;4355
0,184;4365
0,185;4376
0,186;4386
0,187;4397
0,188;4408
0,189;4419
0,19;4430
0,191;4440
0,192;4448
0,193;4456
0,194;4464
0,195;4472
0,196;4480
0,197;4488
0,198;4496
0,199;4504
0,2;4512
0,201;4520
0,202;4531
0,203;4542
0,204;4554
0,205;4565
0,206;4577
0,207;4588
0,208;4599
0,209;4611
0,21;4622
0,211;4633
0,212;4638
0,213;4643
0,214;4648
0,215;4653
0,216;4658
0,217;4663
0,218;4668
0,219;4673
0,22;4678
0,221;4683
0,222;4692
0,223;4701
0,224;4709
0,225;4718
0,226;4727
0,227;4736
0,228;4745
0,229;4754
0,23;4763
0,231;4771
0,232;4778
0,233;4785
0,234;4791
0,235;4798
0,236;4805
0,237;4811
0,238;4818
0,239;4824
0,24;4831
0,241;4838
0,242;4842
0,243;4845
0,244;4849
0,245;4853
0,246;4857
0,247;4861
0,248;4865
0,249;4869
0,25;4872
0,251;4876
0,252;4884
0,253;4892
0,254;4900
0,255;4907
0,256;4915
0,257;4922
0,258;4930
0,259;4938
0,26;4946
0,261;4953
0,262;4961
0,263;4969
0,264;4977
0,265;4985
0,266;4993
0,267;5001
0,268;5009
0,269;5017
0,27;5025
0,271;5033
0,272;5040
0,273;5046
0,274;5053
0,275;5059
0,276;5066
0,277;5072
0,278;5078
0,279;5085
0,28;5091
0,281;5098
0,282;5105
0,283;5111
0,284;5118
0,285;5124
0,286;5131
0,287;5137
0,288;5144
0,289;5150
0,29;5156
0,291;5163
0,292;5170
0,293;5177
0,294;5185
0,295;5192
0,296;5199
0,297;5207
0,298;5214
0,299;5221
0,3;5228
0,301;5236
0,302;5245
0,303;5254
0,304;5262
0,305;5272
0,306;5281
0,307;5290
0,308;5298
0,309;5307
0,31;5316
0,311;5325
0,312;5334
0,313;5342
0,314;5350
0,315;5358
0,316;5367
0,317;5375
0,318;5384
0,319;5392
0,32;5401
0,321;5409
0,322;5417
