"quantiles";"revenus"
0,001;3278
0,002;3283
0,003;3288
0,004;3293
0,005;3298
0,006;3303
0,007;3308
0,008;3313
0,009;3317
0,01;3323
0,011;3328
0,012;3335
0,013;3342
0,014;3350
0,015;3357
0,016;3364
0,017;3371
0,018;3379
0,019;3386
0,02;3393
0,021;3401
0,022;3405
0,023;3409
0,024;3413
0,025;3417
0,026;3421
0,027;3424
0,028;3428
0,029;3432
0,03;3436
0,031;3440
0,032;3445
0,033;3450
0,034;3454
0,035;3458
0,036;3463
0,037;3467
0,038;3472
0,039;3477
0,04;3481
0,041;3486
0,042;3493
0,043;3502
0,044;3510
0,045;3517
0,046;3525
0,047;3533
0,048;3541
0,049;3548
0,05;3556
0,051;3565
0,052;3572
0,053;3580
0,054;3587
0,055;3595
0,056;3602
0,057;3610
0,058;3617
0,059;3625
0,06;3633
0,061;3640
0,062;3642
0,063;3645
0,064;3648
0,065;3651
0,066;3653
0,067;3655
0,068;3658
0,069;3660
0,07;3663
0,071;3666
0,072;3670
0,073;3674
0,074;3678
0,075;3683
0,076;3687
0,077;3691
0,078;3695
0,079;3699
0,08;3703
0,081;3707
0,082;3715
0,083;3722
0,084;3730
0,085;3737
0,086;3745
0,087;3752
0,088;3760
0,089;3768
0,09;3775
0,091;3783
0,092;3791
0,093;3798
0,094;3807
0,095;3815
0,096;3822
0,097;3830
0,098;3838
0,099;3846
0,1;3854
0,101;3862
0,102;3869
0,103;3877
0,104;3885
0,105;3892
0,106;3900
0,107;3907
0,108;3914
0,109;3922
0,11;3929
0,111;3937
0,112;3943
0,113;3949
0,114;3955
0,115;3960
0,116;3967
0,117;3973
0,118;3979
0,119;3985
0,12;3990
0,121;3996
0,122;4006
0,123;4014
0,124;4024
0,125;4033
0,126;4041
0,127;4051
0,128;4060
0,129;4069
0,13;4078
0,131;4087
0,132;4096
0,133;4105
0,134;4114
0,135;4123
0,136;4132
0,137;4141
0,138;4151
0,139;4159
0,14;4168
0,141;4178
0,142;4187
0,143;4197
0,144;4206
0,145;4216
0,146;4226
0,147;4236
0,148;4245
0,149;4255
0,15;4264
0,151;4274
0,152;4283
0,153;4292
0,154;4300
0,155;4309
0,156;4317
0,157;4326
0,158;4334
0,159;4343
0,16;4352
0,161;4360
0,162;4371
0,163;4382
0,164;4392
0,165;4403
0,166;4413
0,167;4424
0,168;4435
0,169;4445
0,17;4456
0,171;4467
0,172;4474
0,173;4480
0,174;4487
0,175;4495
0,176;4502
0,177;4509
0,178;4516
0,179;4523
0,18;4530
0,181;4538
0,182;4548
0,183;4558
0,184;4569
0,185;4579
0,186;4590
0,187;4600
0,188;4611
0,189;4621
0,19;4632
0,191;4642
0,192;4650
0,193;4658
0,194;4666
0,195;4674
0,196;4682
0,197;4690
0,198;4697
0,199;4705
0,2;4713
0,201;4721
0,202;4732
0,203;4743
0,204;4755
0,205;4766
0,206;4778
0,207;4789
0,208;4800
0,209;4812
0,21;4823
0,211;4834
0,212;4839
0,213;4844
0,214;4849
0,215;4854
0,216;4859
0,217;4863
0,218;4868
0,219;4873
0,22;4878
0,221;4883
0,222;4892
0,223;4901
0,224;4909
0,225;4918
0,226;4927
0,227;4936
0,228;4945
0,229;4953
0,23;4962
0,231;4971
0,232;4978
0,233;4984
0,234;4990
0,235;4997
0,236;5004
0,237;5011
0,238;5017
0,239;5023
0,24;5030
0,241;5037
0,242;5041
0,243;5044
0,244;5048
0,245;5052
0,246;5056
0,247;5060
0,248;5064
0,249;5068
0,25;5072
0,251;5075
0,252;5083
0,253;5091
0,254;5099
0,255;5106
0,256;5114
0,257;5122
0,258;5130
0,259;5137
0,26;5145
0,261;5153
0,262;5161
0,263;5169
0,264;5177
0,265;5185
0,266;5193
0,267;5201
0,268;5209
0,269;5217
0,27;5226
0,271;5234
0,272;5241
0,273;5247
0,274;5254
0,275;5260
0,276;5267
0,277;5273
0,278;5280
0,279;5287
0,28;5293
0,281;5300
0,282;5306
0,283;5313
0,284;5320
0,285;5326
0,286;5333
0,287;5339
0,288;5346
0,289;5352
0,29;5359
0,291;5366
0,292;5373
